Mouser Part Number,Manufacturer Part Number,Qty/Board,Order Qty,Description,References,Notes
358-SC0914,RP2040,1,5,Dual-Core ARM Cortex-M0+ MCU Raspberry Pi QFN-56,U1,
579-USB7206C/KDX,USB7206C/KDX,1,5,USB 3.2 Hub Controller Microchip QFN-100,U2,LCSC has MOQ issue
771-PUSB3FR4Z,PUSB3FR4Z,8,44,USB3.0 ESD Protection Nexperia DFN-10,"D1-D8",10% attrition
771-PTN5110NHQZ,PTN5110NHQZ,3,17,USB-C PD Controller NXP QFN-16,"U11,U12,U13",10% attrition
652-SRN4018TA-2R2M,SRN4018TA-2R2M,2,10,2.2uH Power Inductor Bourns 4x4mm,"L1,L2",
815-ABM8G-12-18D2Y,ABM8G-12.000MHZ-18-D2Y-T,1,5,12MHz Crystal Abracon 18pF 3.2x2.5mm,Y2,
647-PCW0J151MCO1GS,PCW0J151MCO1GS,4,20,150uF 6.3V Polymer Cap Nichicon 5mm,"C44-C47",
